
> frontend@0.1.0 dev:frontend
> node scripts/run-frontend-when-ready.js

[frontend] All backend services are ready. Starting Next.js.
▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.32.1:3000
- Environments: .env.local, .env
✓ Ready in 989ms

○ Compiling / ...
 GET /category/6?subcategory=99 200 in 392ms (next.js: 8ms, application-code: 384ms)
 GET /category/6?subcategory=99 200 in 614ms (next.js: 12ms, application-code: 603ms)
 GET /category/6?subcategory=99 200 in 836ms (next.js: 32ms, application-code: 804ms)
 GET /category/6?subcategory=99 200 in 314ms (next.js: 9ms, application-code: 304ms)
 GET /category/6?subcategory=99 200 in 305ms (next.js: 7ms, application-code: 299ms)
 GET /category/6?subcategory=99 200 in 58ms (next.js: 14ms, application-code: 44ms)
 GET /category/6?subcategory=99 200 in 68ms (next.js: 6ms, application-code: 61ms)
 GET /category/6?subcategory=99 200 in 275ms (next.js: 8ms, application-code: 267ms)
 GET /category/6?subcategory=99 200 in 264ms (next.js: 14ms, application-code: 250ms)
 GET /category/6?subcategory=99 200 in 68ms (next.js: 7ms, application-code: 61ms)
 GET /category/6?subcategory=99 200 in 278ms (next.js: 8ms, application-code: 270ms)
 GET /category/6?subcategory=99 200 in 93ms (next.js: 15ms, application-code: 79ms)
 GET /category/6?subcategory=99 200 in 73ms (next.js: 6ms, application-code: 67ms)
 GET /category/6?subcategory=99 200 in 291ms (next.js: 7ms, application-code: 285ms)
 GET /category/6?subcategory=99 200 in 102ms (next.js: 14ms, application-code: 89ms)
 GET /category/6?subcategory=99 200 in 77ms (next.js: 7ms, application-code: 70ms)
 GET /category/6?subcategory=99 200 in 73ms (next.js: 7ms, application-code: 66ms)
 GET /category/6?subcategory=99 200 in 72ms (next.js: 14ms, application-code: 58ms)
 GET /category/6?subcategory=99 200 in 107ms (next.js: 8ms, application-code: 99ms)
 GET /category/6?subcategory=99 200 in 82ms (next.js: 6ms, application-code: 75ms)
 GET /category/6?subcategory=99 200 in 80ms (next.js: 15ms, application-code: 65ms)
 GET /category/6?subcategory=99 200 in 73ms (next.js: 6ms, application-code: 67ms)
 GET /category/6?subcategory=99 200 in 79ms (next.js: 6ms, application-code: 72ms)
 GET /category/6?subcategory=99 200 in 80ms (next.js: 14ms, application-code: 66ms)
 GET /category/6?subcategory=99 200 in 72ms (next.js: 7ms, application-code: 65ms)
 GET /category/6?subcategory=99 200 in 97ms (next.js: 7ms, application-code: 90ms)
 GET /category/6?subcategory=99 200 in 104ms (next.js: 19ms, application-code: 85ms)
 GET /category/6?subcategory=99 200 in 93ms (next.js: 7ms, application-code: 87ms)
 GET /category/6?subcategory=99 200 in 69ms (next.js: 6ms, application-code: 62ms)
 GET /category/6?subcategory=99 200 in 271ms (next.js: 16ms, application-code: 255ms)
 GET /category/6?subcategory=99 200 in 264ms (next.js: 6ms, application-code: 258ms)
 GET /category/6?subcategory=99 200 in 58ms (next.js: 6ms, application-code: 52ms)
 GET /category/6?subcategory=99 200 in 100ms (next.js: 15ms, application-code: 85ms)
 GET /category/6?subcategory=99 200 in 260ms (next.js: 7ms, application-code: 253ms)
 GET /category/6?subcategory=99 200 in 68ms (next.js: 7ms, application-code: 61ms)
 GET /category/6?subcategory=99 200 in 57ms (next.js: 16ms, application-code: 41ms)
 GET /category/6?subcategory=99 200 in 121ms (next.js: 7ms, application-code: 114ms)
 GET /category/6?subcategory=99 200 in 79ms (next.js: 7ms, application-code: 72ms)
 GET /category/6?subcategory=99 200 in 145ms (next.js: 23ms, application-code: 122ms)
 GET /category/6?subcategory=99 200 in 530ms (next.js: 14ms, application-code: 516ms)
 GET /category/6?subcategory=99 200 in 225ms (next.js: 10ms, application-code: 215ms)
 GET /category/6?subcategory=99 200 in 480ms (next.js: 27ms, application-code: 453ms)
 GET /category/6?subcategory=99 200 in 607ms (next.js: 13ms, application-code: 594ms)
 GET /category/6?subcategory=99 200 in 1133ms (next.js: 10ms, application-code: 1124ms)
 GET /category/6?subcategory=99 200 in 1094ms (next.js: 10ms, application-code: 1084ms)
 GET /category/6?subcategory=99 200 in 74ms (next.js: 16ms, application-code: 58ms)
 GET /category/6?subcategory=99 200 in 80ms (next.js: 14ms, application-code: 66ms)
 GET /category/6?subcategory=99 200 in 118ms (next.js: 10ms, application-code: 108ms)
 GET /category/6?subcategory=99 200 in 95ms (next.js: 8ms, application-code: 86ms)
 GET /category/6?subcategory=99 200 in 349ms (next.js: 21ms, application-code: 328ms)
 GET /category/6?subcategory=99 200 in 64ms (next.js: 7ms, application-code: 58ms)
 GET /category/6?subcategory=99 200 in 92ms (next.js: 7ms, application-code: 85ms)
 GET /category/6?subcategory=99 200 in 97ms (next.js: 16ms, application-code: 81ms)
 GET /category/6?subcategory=99 200 in 342ms (next.js: 7ms, application-code: 335ms)
 GET /category/6?subcategory=99 200 in 216ms (next.js: 7ms, application-code: 208ms)
 GET /category/6?subcategory=99 200 in 68ms (next.js: 14ms, application-code: 54ms)
 GET /category/6?subcategory=99 200 in 234ms (next.js: 7ms, application-code: 227ms)
 GET /category/6?subcategory=99 200 in 132ms (next.js: 9ms, application-code: 123ms)
 GET /category/6?subcategory=99 200 in 76ms (next.js: 14ms, application-code: 62ms)
 GET /category/6?subcategory=99 200 in 250ms (next.js: 7ms, application-code: 243ms)
 GET /category/6?subcategory=99 200 in 86ms (next.js: 6ms, application-code: 80ms)
 GET /category/6?subcategory=99 200 in 51ms (next.js: 14ms, application-code: 37ms)
 GET /category/6?subcategory=99 200 in 296ms (next.js: 9ms, application-code: 288ms)
 GET /category/6?subcategory=99 200 in 317ms (next.js: 8ms, application-code: 309ms)
